Skewness,Crest_Factor,Kurtosis,RMS,Power,P2Pamp,Periodicity,Noise,Broken_bars-1x,Broken_bars-2x,Broken_bars-3x,Eccentricity-1x,Eccentricity-3x,Eccentricity-5x,cage_winding-3x,Inner_race-1x,Outer_race-1x,bearing_cage-3x,BPF-1x,batch_type,Load
0.003,1125.9713,1.3527,1.07,1.145,3.1583,2.9964,1.0700449450657925,55.17593693167528,47.563749864711326,43.91932649408156,14.99852374403309,15.494491605930115,18.221501545785642,36.76749699053835,46.70568580036229,44.51862411391619,58.3398438119512,45.261837631624104,healthy,05
0.003,1125.9713,1.3527,1.07,1.145,3.1583,2.9964,1.0700449450657925,55.40698192984084,47.790640637913455,44.10328438925932,17.56218323918398,19.08326547682463,20.321661960128242,33.96060238705368,46.92673566148521,44.73276402279906,58.5354490276041,46.32338659447987,healthy,05
0.0004,899.1915,1.3583,1.068,1.1406,3.1708,2.9964,1.0679723153774872,55.51982041528379,47.956185357855084,44.1916024579817,16.17287925125637,16.698124837332543,14.503458413612416,37.721100027549795,47.07274989597318,44.7753133607392,58.65521858246203,46.5641229982341,healthy,05
0.0004,899.1915,1.3583,1.068,1.1406,3.1708,2.9964,1.0679723153774872,55.4485989315516,47.71646965441461,43.74699930500313,20.89709719114337,21.31302968981613,22.979066941488213,36.50529036043848,46.80504175624272,44.440237946755886,58.58718052784616,45.921879030845446,healthy,05
0.0004,899.1915,1.3583,1.068,1.1406,3.1708,2.9964,1.0679723153774872,55.67625095564662,48.124224842272994,44.388043279687444,10.963416875001034,12.973551972343733,17.344191300509213,38.81002035285361,47.29551758993543,44.98113619198152,58.79470119088962,46.8097785976377,healthy,05
0.0004,1059.1575,1.3518,1.068,1.1407,3.1417,2.9964,1.068044105514834,55.78341884488391,48.22510395023946,44.272189257136944,20.33524697425885,21.334233310940814,23.5131119243976,32.72541421281446,47.180167635224606,44.941364397046875,58.90975051612062,45.349444996303845,healthy,05
0.0004,1059.1575,1.3518,1.068,1.1407,3.1417,2.9964,1.068044105514834,55.71183123080441,48.15161100292268,44.45135734545896,14.148125471802793,13.417003879577635,15.421697554902938,36.618154191639874,47.12319543708567,45.09788557107578,58.848079607633096,46.22796490832815,healthy,05
0.0004,1059.1575,1.3518,1.068,1.1407,3.1417,2.9964,1.068044105514834,55.893078779639836,48.49107953607513,44.89153329626467,10.509202153396876,11.236998570677404,14.138824118221404,35.496975010753786,47.478096086557386,45.370263575649744,59.02746724951516,47.32862979753619,healthy,05
0.0027,1134.1889,1.3568,1.0693,1.1434,3.1625,2.9964,1.0692953109931906,55.970118013480764,48.43228534060749,44.85136548181967,13.230039725651515,15.216226781383893,17.57917744786655,35.92053615630755,47.495018996405264,45.45086687039966,59.138305030391464,47.1273054411072,healthy,05
0.0027,1134.1889,1.3568,1.0693,1.1434,3.1625,2.9964,1.0692953109931906,55.89431914302351,48.351910563465374,44.62741783934176,7.4314906786444475,8.34546352800099,12.919922113303649,37.063410667426396,47.3875498559477,45.2871613778901,59.07736828200768,47.18981574322243,healthy,05
0.0027,1134.1889,1.3568,1.0693,1.1434,3.1625,2.9964,1.0692953109931906,56.13759349984322,48.59292965824128,44.75698127665891,19.713436654699603,21.634984221182282,21.088408933776535,35.53160452435691,47.580804003068124,45.40133154572152,59.21559620113372,45.69101105768529,healthy,05
0.0002,831.2831,1.3523,1.0674,1.1393,3.1375,2.9964,1.0673970164795878,56.148754764840675,48.616301699956,44.95771690882128,10.105839822604903,9.865729390741272,15.196422446162364,38.60515528783883,47.65565347494068,45.44760877214476,59.353569076776274,46.80394966729126,healthy,05
0.0002,831.2831,1.3523,1.0674,1.1393,3.1375,2.9964,1.0673970164795878,56.138502202364776,48.492641078967544,44.59602381736855,18.722135271851425,18.736147004469593,20.86435354853611,37.25253298328674,47.52097862655572,45.22823157972812,59.23122548890315,46.250196881694414,healthy,05
0.0002,831.2831,1.3523,1.0674,1.1393,3.1375,2.9964,1.0673970164795878,56.277106292116756,48.77066746557887,44.89258071113008,17.712068995477104,17.498423389440504,20.073024078262343,38.62789974155413,47.75421886211792,45.53032534532502,59.423761753409295,45.96160695015086,healthy,05
0.0026,1125.3691,1.3546,1.0711,1.1472,3.1667,2.9964,1.071091005762448,56.450671627620736,48.922668390625674,45.21701474500883,15.93620862149705,16.74477984324696,20.606461666865044,34.902919158501696,48.00034269673584,45.87329151789997,59.579176832712264,47.31908558085243,healthy,05
0.0026,1125.3691,1.3546,1.0711,1.1472,3.1667,2.9964,1.071091005762448,56.32731289316986,48.72806615774647,44.881955333625214,18.738448308933414,20.209153509182958,20.778353448420763,36.32597976077942,47.78938672002138,45.63324165551749,59.4842730019534,45.82929099816842,healthy,05
0.0026,1125.3691,1.3546,1.0711,1.1472,3.1667,2.9964,1.071091005762448,56.51801654548463,49.03297558454842,45.39582078910998,11.76243156169312,12.701846257513363,15.190396510151993,36.097725379181256,48.165761460015,46.02884543413542,59.61482954210193,46.95922862922384,healthy,05
0.0,791.0852,1.3533,1.0672,1.139,3.15,2.9964,1.0672317350230849,56.673376125028334,49.05091249733594,45.297930951466284,21.258637917164148,21.806869677470527,22.36894513882226,33.64533758363504,48.05244145182483,45.83257990023894,59.80918539618882,46.85732887916182,healthy,05
